Path,Performance,Accessibility,SEO,Best Practices
/,94,68,92,100
/about/javascript,98,73,82,96
/inventory,57,88,75,77
/inventory/76561198021413819,95,71,92,100
/inventory/76561198040212496,94,71,92,100
/inventory/76561198410325443,94,71,92,100
/inventory/76561198422047724,95,71,92,100
/inventory/76561198743584025,95,71,92,100
/inventory/76561199443911975,77,71,92,100
/inventory/76561199660411284,82,71,92,100
/inventory/auth/steam,57,88,75,77
/inventory/logout?returnTo=%2F,91,68,92,100
/item/17241%3B15%3Bw1%3Bpk241?name=Electroshocked+War+Paint+%28Factory+New%29,96,74,92,100
/item/30168%3B6?name=The+Special+Eyes,94,74,92,100
/item/30771%3B6?name=Squire%26%23x27%3Bs+Sabatons,94,74,92,100
/item/5020%3B6?name=Name+Tag,93,68,92,100
/item/5703%3B6?name=Reinforced+Robot+Humor+Suppression+Pump,90,68,92,100
/item/603%3B6?name=The+Outdoorsman,95,74,92,100
/item/6526%3B6%3Bkt-3%3Btd-355?name=Professional+Killstreak+Fan+O%26%23x27%3BWar+Kit,91,74,92,100
/item/939%3B6?name=The+Bat+Outta+Hell,94,68,92,100
/listings,73,74,92,100
/store?group=1,94,76,92,100
/store?group=10,95,69,92,100
/store?group=11,95,72,92,100
/store?group=12,93,80,92,92
/store?group=14,92,76,92,100
/store?group=15,94,76,92,100
/store?group=16,80,80,92,100
/store?group=17,96,69,92,100
/store?group=18,95,69,92,100
/store?group=19,93,72,92,100
/store?group=2,94,76,92,100
/store?group=3,94,72,92,100
/store?group=32,92,76,92,100
/store?group=33,94,69,92,100
/store?group=34,96,69,92,100
/store?group=35,84,80,92,100
/store?group=36,96,69,92,100
/store?group=37,94,76,92,100
/store?group=45,95,72,92,100
/store?group=47,94,72,92,100
/store?group=48,94,69,92,100
/store?group=49,95,76,92,100
/store?group=5,88,69,92,100
/store?group=50,95,69,92,100
/store?group=52,95,69,92,100
/store?group=53,96,69,92,100
/store?group=54,94,69,92,100
/store?group=55,96,69,92,100
/store?group=56,95,69,92,100
/store?group=58,96,72,92,100
/store?group=59,95,69,92,100
/store?group=6,94,72,92,100
/store?group=61,95,69,92,100
/store?group=63,97,69,92,100
/store?group=65,95,76,92,100
/store?group=66,95,69,92,100
/store?group=68,94,76,92,100
/store?group=69,95,76,92,100
/store?group=71,95,69,92,100
/store?group=72,96,69,92,100
/store?group=8,95,76,92,100
/store?group=9,95,76,92,100
/store?id=76561197961205411,95,69,92,100
/store?id=76561197961465956,94,69,92,100
/store?id=76561197962841151,95,69,92,100
/store?id=76561197966563795,95,69,92,100
/store?id=76561197966885398,95,69,92,100
/store?id=76561197967286520,95,69,92,100
/store?id=76561197967934842,94,69,92,100
/store?id=76561197968255747,94,69,92,100
/store?id=76561197970940248,95,69,92,100
/store?id=76561197970948448,95,69,92,100
/store?id=76561197971870923,95,69,92,100
/store?id=76561197974764104,95,69,92,100
/store?id=76561197984236635,95,69,92,100
/store?id=76561197988262873,94,69,92,100
/store?id=76561197988341178,94,69,92,100
/store?id=76561197995428281,96,69,92,100
/store?id=76561197998473085,95,69,92,100
/store?id=76561198000091310,95,69,92,100
/store?id=76561198000811394,95,69,92,100
/store?id=76561198001235783,95,69,92,100
/store?id=76561198001250303,95,69,92,100
/store?id=76561198004522192,95,69,92,100
/store?id=76561198006379512,95,69,92,100
/store?id=76561198007486115,95,69,92,100
/store?id=76561198007576578,95,69,92,100
/store?id=76561198008840775,94,69,92,100
/store?id=76561198011156965,94,69,92,100
/store?id=76561198013374536,95,69,92,100
/store?id=76561198013862080,95,69,92,100
/store?id=76561198017086848,95,69,92,100
/store?id=76561198019481980,95,69,92,100
/store?id=76561198020938040,94,69,92,100
/store?id=76561198021353023,95,69,92,100
/store?id=76561198021413819,91,69,92,100
/store?id=76561198022963100,95,69,92,100
/store?id=76561198024867201,96,69,92,100
/store?id=76561198025164881,94,69,92,100
/store?id=76561198025337252,95,69,92,100
/store?id=76561198026151556,94,69,92,100
/store?id=76561198027315255,95,69,92,100
/store?id=76561198028660366,95,69,92,100
/store?id=76561198029069878,95,69,92,100
/store?id=76561198029074524,95,69,92,100
